行く
見る
多い
家
これ
それ
私
仕事
いつ
する
出る
使う
ところ
作る
思う
持つ
買う
時間
知る
同じ
今
新しい
なる
まだ
後
聞く
言う
少ない
高い
子供
そう
もう
学生
熱い
どうぞ
午後
長い
本
今年
よく
彼女
どう
言葉
顔
終わる
一つ
あげる
こう
学校
くれる
始める
起きる
春
午前
別
どこ
部屋
若い
車
置く
住む
働く
難しい
先生
立つ
呼ぶ
大学
安い
もっと
帰る
分かる
広い
数
近い
そこ
走る
入れる
教える
歩く
会う
書く
頭
売る
大好き
体
直ぐ
飛ぶ
とても
誰
好き
読む
次
あなた
飲む
古い
質問
今日
友達
早い
どれ
美しい
いつも
足
起こす
見せる
娘
楽しむ
色
みんな
取る
勉強
出来る
短い
落ちる
息子
白い
飛行機
病気
冬
年
重い
胸
払う
軽い
見つける
忘れる
酒
どちら
姉
覚える
狭い
赤い
着る
笑う
一番
授業
週
漢字
自転車
電車
探す
紙
歌う
遅い
首
速い
一緒に
今月
遊ぶ
遠い
弱い
耳
座る
右
浴びる
肩
寝る
消す
元気
全部
去年
引く
図書館
上げる
緑
腕
ドア
女の子
男の子
私たち
近く
やる
かなり
国
起こる
秋
送る
死ぬ
気持ち
乗る
いる
木
開ける
閉める
続く
お医者さん
円
ここ
待つ
低い
もらう
食べる
兄
名前
夫
一
結婚
親
話す
少し
閉じる
時
米
切る
楽しい
服
後ろ
嬉しい
腰
日曜日
昼
お母さん
大学生
終わり
背
手伝う
鼻
起きる
載せる
悲しい
しゃべる
近く
甘い
テーブル
食べ物
始まる
ゲーム
十
天気
暑い
太い
晩
土曜日
痛い
お父さん
多分
時計
泊まる
どうして
掛ける
曲がる
おなか
ミーティング
嫌い
金曜日
要る
ない
黄色い
風邪
優しい
晴れる
汚い
茶色
空く
上る
ご飯
日
髪の毛
つける
月曜日
入る
片仮名
今週
開く
水
あれ
二
締める
まずい
平仮名
曇る
触る
だめ
飲み物
木曜日
曜日
そば
こっち
火曜日
渇く
三
水曜日
二つ
今晩
千
六日
お姉さん
直る
ちょっと
四
これから
考える
戻る
変える
朝
歯
頑張る
携帯電話
雨
金
易しい
お兄さん
大きい
小さい
辛い
八
あそこ
来る
前
五日
一杯
九
酸っぱい
違う
細い
三つ
八日
高校生
上手
強い
七
二十日
左
二日
四つ
暖かい
ある
いい
上
駅
おいしい
昨日
奇麗
五
九つ
お願い
答える
先
寒い
四
三日
下
大丈夫
大人
出す
父
母
月
妹
冷たい
弟
手
十日
口
夏
七つ
時々
何
人
一人
一日
九日
方
他
僕
欲しい
万
見える
道
五つ
目
八つ
止める
四日
夜
来年
六
悪い
お手洗い
ご主人
本当に
自分
ため
見つかる
休む
ゆっくり
六つ
花
動く
線
七日
以外
男
彼
女
妻
百
辺
店
閉まる
問題
必要
持つ
開く
昨年
治る
ドル
システム
以上
最近
世界
コンピューター
やる
意味
増える
選ぶ
生活
進める
続ける
ほとんど
会社
家
多く
話
上がる
もう
集める
声
初めて
変わる
まず
社会
プログラム
力
今回
予定
まま
テレビ
減る
消える
家族
比べる
生まれる
ただ
これら
調べる
事故
電話
外国
銀行
十分
あまり
写真
繰り返す
種類
意見
新聞
文章
目立つ
相手
病院
厚い
忙しい
薄い
川
暗い
クラス
黒い
バス
青い
買い物
薬
砂糖
休み
郵便局
住所
こちら
財布
パスポート
椅子
可愛い
お祖父さん
切手
涼しい
いくつ
メニュー
電気
勝つ
負ける
建てる
日記
売り切れ
お巡りさん
目覚まし時計
レシート
ティッシュ
歯ブラシ
下りる
洗う
パート
氏名
今夜
夜中
来週
誰か
何
今朝
寿司
履く
おじさん
おばさん
お祖母さん
いとこ
辞書
朝ご飯
白
どっち
そっち
明日
明後日
一昨日
庭
左側
右側
指
眼鏡
鞄
あっち
大人しい
下手
厳しい
一人で
答え
この頃
残念
仕舞う
心配
外
大切
ちょうど
助ける
勤める
連れて行く
丈夫
賑やか
眠い
山
橋
止まる
降る
本当
町
お菓子
緩い
良い
ようこそ
お土産
両親
ウェーター
ウェートレス
絶対に
ごちそう
フォーク
スプーン
瓶
つく
醤油
茶碗
決める
感じる
生きる
動かす
壊れる
復習
眉
客
机
風呂
湯
ぬるい
風邪薬
靴下
たばこ
アイスコーヒー
天ぷら
肉
昨夜
流行る
連れて来る
方
零
雲
空
人気
兄さん
姉さん
平成
毎月
半日
半月
なるほど
つまり
そのまま
